c,x,y,z,c2,x2,y2,z2
#00266e,-0.273,-0.334,0.431,,,,
#bb7d0d,0.426,0.533,0.733,,,,
#ba7d09,0.44,0.537,0.729,,,,
#004ea7,-0.347,-0.556,0.655,,,,
#00338c,-0.339,-0.432,0.549,,,,
#004f21,0.177,-0.254,0.31,,,,
#9c7d2e,0.295,0.315,0.612,,,,
#9f1c08,0.082,0.586,0.624,,,,
#b41c00,0.114,0.697,0.706,,,,
#bc1c00,0.115,0.728,0.737,,,,
#bb1c00,0.115,0.724,0.733,,,,
#ba1c00,0.115,0.72,0.729,,,,
#b91c00,0.115,0.716,0.725,,,,
#b81c00,0.115,0.712,0.722,,,,
#d01c00,0.115,0.808,0.816,,,,
#00144c,-0.208,-0.214,0.298,,,,
#004da8,-0.354,-0.556,0.659,,,,
#001c52,-0.205,-0.248,0.322,,,,
#cf1c00,0.115,0.804,0.812,,,,
#008c36,0.329,-0.439,0.549,,,,
#8d1c0c,0.066,0.502,0.553,,,,
#002c7a,-0.297,-0.375,0.478,,,,
#ab1c00,0.114,0.661,0.671,,,,
#001548,-0.191,-0.208,0.282,,,,
#01571e,0.216,-0.259,0.341,,,,
#dcac06,0.609,0.577,0.863,,,,
#2077c8,-0.319,-0.577,0.784,,,,
#05572e,0.161,-0.278,0.341,,,,
#004aa6,-0.357,-0.544,0.651,,,,
#01722c,0.268,-0.353,0.447,,,,
#00722c,0.268,-0.358,0.447,,,,
#e4ae0c,0.599,0.599,0.894,,,,
#02723c,0.212,-0.384,0.447,,,,
#016a2b,0.242,-0.333,0.416,,,,
#e0ae00,0.638,0.603,0.878,,,,
#e1ae00,0.639,0.608,0.882,,,,
#247dcd,-0.315,-0.583,0.804,,,,
#1777cc,-0.335,-0.626,0.8,,,,
#002161,-0.242,-0.293,0.38,,,,
#1d7dd6,-0.35,-0.635,0.839,,,,
#187dcf,-0.325,-0.64,0.812,,,,
#157dd2,-0.336,-0.66,0.824,,,,
#147dd3,-0.34,-0.667,0.827,,,,
#7f1808,0.065,0.462,0.498,,,,
#b81800,0.098,0.715,0.722,,,,
#027d36,0.274,-0.397,0.49,,,,
#017d31,0.291,-0.39,0.49,,,,
#001854,-0.224,-0.241,0.329,,,,
#016828,0.245,-0.321,0.408,,,,
#dd290c,0.119,0.811,0.867,,,,
#006830,0.218,-0.345,0.408,,,,
#ab1800,0.098,0.663,0.671,,,,
#002978,-0.299,-0.363,0.471,,,,
#006936,0.201,-0.36,0.412,,,,
#004b11,0.213,-0.203,0.294,,,,
#d0a310,0.541,0.524,0.816,,,,
#005726,0.19,-0.284,0.341,,,,
#d5a304,0.586,0.573,0.835,,,,
#003a98,-0.36,-0.475,0.596,,,,
#015e29,0.205,-0.302,0.369,,,,
#0046a6,-0.371,-0.535,0.651,,,,
#bb7c10,0.412,0.529,0.733,,,,
#b87c0b,0.429,0.526,0.722,,,,
#b57c01,0.463,0.533,0.71,,,,
#002b74,-0.279,-0.36,0.455,,,,
#01692e,0.228,-0.338,0.412,,,,
#9c7c32,0.278,0.309,0.612,,,,
#9b7c2a,0.305,0.321,0.608,,,,
#997c2e,0.29,0.303,0.6,,,,
#dfb006,0.622,0.58,0.875,,,,
#dcb00e,0.593,0.549,0.863,,,,
#00348d,-0.339,-0.436,0.553,,,,
#007530,0.266,-0.374,0.459,,,,
#e86454,0.066,0.577,0.91,,,,
#002466,-0.251,-0.312,0.4,,,,
#00632b,0.217,-0.322,0.388,,,,
#00174a,-0.192,-0.218,0.29,,,,
#db2200,0.139,0.847,0.859,,,,
#da2200,0.139,0.844,0.855,,,,
#dc2200,0.139,0.851,0.863,,,,
#d52200,0.139,0.824,0.835,,,,
#002a75,-0.285,-0.359,0.459,,,,
#df2308,0.111,0.836,0.875,,,,
#da2300,0.143,0.843,0.855,,,,
#bf2104,0.119,0.724,0.749,,,,
#b72104,0.119,0.692,0.718,,,,
#be2104,0.119,0.72,0.745,,,,
#bd2108,0.102,0.702,0.741,,,,
#b42108,0.102,0.667,0.706,,,,
#b32108,0.102,0.663,0.702,,,,
#2d7ccb,-0.31,-0.537,0.796,,,,
#2c7cc9,-0.302,-0.536,0.788,,,,
#b92108,0.102,0.687,0.725,,,,
#d62300,0.143,0.827,0.839,,,,
#c52204,0.123,0.747,0.773,,,,
#0145a5,-0.37,-0.526,0.647,,,,
#0045a9,-0.385,-0.54,0.663,,,,
#0345a9,-0.384,-0.526,0.663,,,,
#b62004,0.114,0.689,0.714,,,,
#af2108,0.102,0.647,0.686,,,,
#a6210c,0.086,0.598,0.651,,,,
#ae2108,0.102,0.643,0.682,,,,
#b52004,0.114,0.685,0.71,,,,
#9e2008,0.098,0.58,0.62,,,,
#107cd5,-0.352,-0.688,0.835,,,,
#006128,0.22,-0.311,0.38,,,,
#b22008,0.098,0.659,0.698,,,,
#a9210c,0.086,0.61,0.663,,,,
#a0210c,0.086,0.574,0.627,,,,
#d9ac15,0.555,0.532,0.851,,,,
#d72000,0.131,0.833,0.843,,,,
#b82000,0.131,0.71,0.722,,,,
