c,x,y,z,c2,x2,y2,z2
#001f5e,-0.238,-0.282,0.369,,,,
#001e54,-0.205,-0.258,0.329,,,,
#400601,0.021,0.246,0.251,,,,
#bf1d01,0.115,0.736,0.749,,,,
#045629,0.175,-0.27,0.337,,,,
#0756b9,-0.384,-0.583,0.725,,,,
#bc1d01,0.115,0.724,0.737,,,,
#bb1d01,0.115,0.72,0.733,,,,
#ba1d01,0.115,0.716,0.729,,,,
#b91d01,0.115,0.712,0.725,,,,
#b81d01,0.114,0.708,0.722,,,,
#3e0501,0.016,0.239,0.243,,,,
#0151b5,-0.388,-0.59,0.71,,,,
#003e97,-0.343,-0.483,0.592,,,,
#0051b5,-0.388,-0.594,0.71,,,,
#007138,0.223,-0.383,0.443,,,,
#0251bd,-0.417,-0.603,0.741,,,,
#ae1d01,0.114,0.669,0.682,,,,
#a91d01,0.114,0.649,0.663,,,,
#a81d05,0.098,0.632,0.659,,,,
#3a0401,0.012,0.223,0.227,,,,
#bd260b,0.11,0.689,0.741,,,,
#c9950b,0.514,0.54,0.788,,,,
#bb2607,0.127,0.694,0.733,,,,
#931d09,0.082,0.535,0.576,,,,
#003c97,-0.349,-0.478,0.592,,,,
#941d09,0.082,0.539,0.58,,,,
#c91d01,0.115,0.776,0.788,,,,
#400501,0.016,0.247,0.251,,,,
#cc1d01,0.115,0.788,0.8,,,,
#c9280e,0.106,0.726,0.788,,,,
#d4a901,0.613,0.556,0.831,,,,
#8b1d09,0.082,0.503,0.545,,,,
#c41d01,0.115,0.756,0.769,,,,
#003b8c,-0.313,-0.451,0.549,,,,
#002a74,-0.282,-0.357,0.455,,,,
#b11c01,0.11,0.681,0.694,,,,
#d3a201,0.592,0.572,0.827,,,,
#bf1901,0.098,0.739,0.749,,,,
#b71901,0.098,0.707,0.718,,,,
#be1901,0.098,0.735,0.745,,,,
#bd1901,0.098,0.731,0.741,,,,
#b41901,0.098,0.695,0.706,,,,
#bc1901,0.098,0.727,0.737,,,,
#bb1901,0.098,0.723,0.733,,,,
#b21901,0.098,0.687,0.698,,,,
#ba1901,0.098,0.719,0.729,,,,
#b91901,0.098,0.715,0.725,,,,
#b11901,0.098,0.683,0.694,,,,
#004daf,-0.38,-0.572,0.686,,,,
#007a32,0.277,-0.39,0.478,,,,
#125fba,-0.354,-0.556,0.729,,,,
#0f5fb5,-0.336,-0.558,0.71,,,,
#cfa20d,0.548,0.528,0.812,,,,
#a01901,0.098,0.616,0.627,,,,
#0b5fbf,-0.374,-0.599,0.749,,,,
#0a5f31,0.179,-0.281,0.373,,,,
#075f32,0.176,-0.297,0.373,,,,
#065f30,0.183,-0.297,0.373,,,,
#045f31,0.18,-0.308,0.373,,,,
#035fb5,-0.338,-0.611,0.71,,,,
#025f26,0.218,-0.292,0.373,,,,
#015f27,0.215,-0.299,0.373,,,,
#005fc1,-0.384,-0.652,0.757,,,,
#0158b4,-0.36,-0.603,0.706,,,,
#0058bc,-0.39,-0.626,0.737,,,,
#013891,-0.341,-0.45,0.569,,,,
#007831,0.273,-0.383,0.471,,,,
#001955,-0.225,-0.246,0.333,,,,
#014f20,0.18,-0.247,0.31,,,,
#c91c01,0.111,0.776,0.788,,,,
#004fb8,-0.406,-0.597,0.722,,,,
#cd1c01,0.111,0.792,0.804,,,,
#871909,0.066,0.49,0.529,,,,
#ce1c01,0.111,0.796,0.808,,,,
#c11901,0.098,0.746,0.757,,,,
#0046ae,-0.4,-0.553,0.682,,,,
#001640,-0.159,-0.194,0.251,,,,
#c01c01,0.11,0.741,0.753,,,,
#c21c01,0.11,0.749,0.761,,,,
#c31c01,0.11,0.753,0.765,,,,
#c41c01,0.11,0.757,0.769,,,,
#b62507,0.123,0.675,0.714,,,,
#c61c01,0.11,0.765,0.776,,,,
#c71c01,0.111,0.769,0.78,,,,
#b5250b,0.106,0.658,0.71,,,,
#013b9f,-0.381,-0.488,0.624,,,,
#013995,-0.352,-0.462,0.584,,,,
#005d23,0.222,-0.29,0.365,,,,
#007938,0.253,-0.401,0.475,,,,
#033971,-0.219,-0.372,0.443,,,,
#a71501,0.082,0.646,0.655,,,,
#ac1501,0.082,0.666,0.675,,,,
#9e1401,0.078,0.611,0.62,,,,
#ab1501,0.082,0.662,0.671,,,,
#a01501,0.082,0.618,0.627,,,,
#a81501,0.082,0.65,0.659,,,,
#895e05,0.336,0.394,0.537,,,,
#855e05,0.334,0.375,0.522,,,,
#780c01,0.045,0.464,0.471,,,,
#0144a8,-0.384,-0.53,0.659,,,,
#0045b4,-0.425,-0.564,0.706,,,,
#0044a8,-0.385,-0.535,0.659,,,,
#0244a4,-0.369,-0.517,0.643,,,,
#0054c1,-0.422,-0.628,0.757,,,,
#a41401,0.078,0.634,0.643,,,,
#bc250b,0.106,0.686,0.737,,,,
#8f1401,0.078,0.551,0.561,,,,
#003487,-0.318,-0.423,0.529,,,,
#a31401,0.078,0.631,0.639,,,,
#021d45,-0.154,-0.213,0.271,,,,
#006b2a,0.249,-0.338,0.42,,,,
#026b3a,0.193,-0.364,0.42,,,,
#000e09,0.02,-0.051,0.055,,,,
#016230,0.196,-0.326,0.384,,,,
#14462a,0.109,-0.163,0.275,,,,
#00621c,0.261,-0.282,0.384,,,,
#e3320b,0.159,0.832,0.89,,,,
#007933,0.27,-0.39,0.475,,,,
#002151,-0.185,-0.258,0.318,,,,
#006531,0.203,-0.34,0.396,,,,
#dfb50f,0.605,0.547,0.875,,,,
#017937,0.256,-0.395,0.475,,,,
#ce331b,0.098,0.695,0.808,,,,
#155eb9,-0.353,-0.538,0.725,,,,
#971001,0.061,0.585,0.592,,,,
#105ebb,-0.362,-0.565,0.733,,,,
#006123,0.236,-0.298,0.38,,,,
#0e5ebd,-0.369,-0.578,0.741,,,,
#0d5e31,0.175,-0.265,0.369,,,,
#0c5ebc,-0.366,-0.585,0.737,,,,
#0a5ebb,-0.363,-0.592,0.733,,,,
#095ebd,-0.371,-0.601,0.741,,,,
#085eb8,-0.352,-0.594,0.722,,,,
#075ebc,-0.367,-0.607,0.737,,,,
#045e2e,0.187,-0.299,0.369,,,,
#015e1f,0.238,-0.277,0.369,,,,
#005ebf,-0.38,-0.646,0.749,,,,
#007228,0.281,-0.348,0.447,,,,
#fbdd61,0.451,0.402,0.984,,,,
#007031,0.244,-0.365,0.439,,,,
#eb5d4a,0.078,0.627,0.922,,,,
#e65d50,0.053,0.586,0.902,,,,
#001119,-0.032,-0.093,0.098,,,,
#3a330b,0.143,0.116,0.227,,,,
#004318,0.164,-0.206,0.263,,,,
#dbae01,0.631,0.576,0.859,,,,
#001747,-0.181,-0.212,0.278,,,,
#daae05,0.617,0.563,0.855,,,,
#dfae0d,0.592,0.572,0.875,,,,
#deae01,0.634,0.591,0.871,,,,
#ddae05,0.619,0.578,0.867,,,,
#dcae19,0.549,0.533,0.863,,,,
#00328b,-0.339,-0.427,0.545,,,,
#00266f,-0.277,-0.336,0.435,,,,
#38320b,0.139,0.109,0.22,,,,
#d1ae05,0.61,0.517,0.82,,,,
#003387,-0.321,-0.421,0.529,,,,
#004f18,0.206,-0.231,0.31,,,,
#bf1c01,0.11,0.737,0.749,,,,
#b71c01,0.11,0.705,0.718,,,,
#be1c01,0.11,0.733,0.745,,,,
#bd1c01,0.11,0.729,0.741,,,,
#971c09,0.078,0.551,0.592,,,,
#004da7,-0.35,-0.553,0.655,,,,
#b21c01,0.11,0.685,0.698,,,,
#d31c01,0.111,0.816,0.827,,,,
#b81c01,0.11,0.709,0.722,,,,
#885d02,0.343,0.398,0.533,,,,
#00144d,-0.211,-0.216,0.302,,,,
#011c11,0.044,-0.096,0.11,,,,
#cb1c01,0.111,0.784,0.796,,,,
#cc1c01,0.111,0.788,0.8,,,,
#af1c01,0.11,0.673,0.686,,,,
#002c77,-0.286,-0.369,0.467,,,,
#a11c05,0.094,0.604,0.631,,,,
#c11c01,0.11,0.745,0.757,,,,
#29260b,0.095,0.069,0.161,,,,
#00154d,-0.208,-0.219,0.302,,,,
#0057bd,-0.397,-0.626,0.741,,,,
#014ba0,-0.331,-0.528,0.627,,,,
#0257c5,-0.426,-0.635,0.773,,,,
#00338f,-0.35,-0.438,0.561,,,,
#007633,0.259,-0.383,0.463,,,,
#017231,0.251,-0.365,0.447,,,,
#007229,0.278,-0.35,0.447,,,,
#df2b13,0.098,0.794,0.875,,,,
#006a30,0.225,-0.349,0.416,,,,
#e0ae01,0.635,0.601,0.878,,,,
#e1ae01,0.635,0.606,0.882,,,,
#e2ae01,0.636,0.611,0.886,,,,
#e3ae01,0.637,0.616,0.89,,,,
#00772b,0.289,-0.366,0.467,,,,
#006d25,0.273,-0.329,0.427,,,,
#002166,-0.26,-0.304,0.4,,,,
#b61801,0.094,0.704,0.714,,,,
#b51801,0.094,0.7,0.71,,,,
#b21801,0.094,0.688,0.698,,,,
#0d5db5,-0.344,-0.562,0.71,,,,
#0b5db6,-0.348,-0.573,0.714,,,,
#b01801,0.094,0.68,0.69,,,,
#095d31,0.172,-0.281,0.365,,,,
#085d2d,0.186,-0.277,0.365,,,,
#075d31,0.172,-0.29,0.365,,,,
#055d2d,0.187,-0.29,0.365,,,,
#e12903,0.155,0.857,0.882,,,,
#035dbc,-0.372,-0.623,0.737,,,,
#025d2e,0.184,-0.306,0.365,,,,
#015dc5,-0.405,-0.653,0.773,,,,
#001851,-0.213,-0.235,0.318,,,,
#028841,0.277,-0.447,0.533,,,,
#af1801,0.094,0.676,0.686,,,,
#a51801,0.094,0.636,0.647,,,,
#ae1801,0.094,0.672,0.682,,,,
#801809,0.061,0.463,0.502,,,,
#006829,0.242,-0.328,0.408,,,,
#a91801,0.094,0.652,0.663,,,,
#002977,-0.296,-0.361,0.467,,,,
#004b1c,0.179,-0.233,0.294,,,,
#d2a305,0.581,0.556,0.824,,,,
#d3a305,0.581,0.561,0.827,,,,
#d6a301,0.597,0.584,0.839,,,,
#d7a305,0.584,0.581,0.843,,,,
#093a1b,0.118,-0.152,0.227,,,,
#003a9b,-0.37,-0.482,0.608,,,,
#015e1c,0.247,-0.269,0.369,,,,
#005e24,0.222,-0.294,0.369,,,,
#075e30,0.179,-0.29,0.369,,,,
#002672,-0.287,-0.342,0.447,,,,
#002b7f,-0.318,-0.383,0.498,,,,
#0046b1,-0.411,-0.56,0.694,,,,
#00571d,0.219,-0.261,0.341,,,,
#036937,0.196,-0.348,0.412,,,,
#046927,0.25,-0.307,0.412,,,,
#deb00b,0.604,0.565,0.871,,,,
#dcb007,0.617,0.563,0.863,,,,
#865c05,0.328,0.385,0.525,,,,
#001c59,-0.23,-0.263,0.349,,,,
#01347e,-0.285,-0.399,0.494,,,,
#007539,0.235,-0.394,0.459,,,,
#00348e,-0.343,-0.439,0.557,,,,
#02346a,-0.211,-0.349,0.416,,,,
#00246f,-0.283,-0.331,0.435,,,,
#006330,0.199,-0.333,0.388,,,,
#002a7a,-0.303,-0.37,0.478,,,,
#cd2203,0.127,0.782,0.804,,,,
#b7210b,0.09,0.668,0.718,,,,
#dc2303,0.131,0.841,0.863,,,,
#bd2103,0.123,0.719,0.741,,,,
#bc2103,0.123,0.715,0.737,,,,
#bb2103,0.123,0.711,0.733,,,,
#b2210b,0.09,0.649,0.698,,,,
#ba2107,0.106,0.694,0.729,,,,
#b82107,0.106,0.686,0.722,,,,
#d52303,0.131,0.813,0.835,,,,
#0145a4,-0.366,-0.524,0.643,,,,
#004213,0.176,-0.19,0.259,,,,
#0045a4,-0.367,-0.528,0.643,,,,
#0345ac,-0.395,-0.532,0.675,,,,
#daac12,0.566,0.543,0.855,,,,
#b62007,0.102,0.679,0.714,,,,
#be2003,0.119,0.724,0.745,,,,
#a42107,0.106,0.606,0.643,,,,
#135cb6,-0.349,-0.535,0.714,,,,
#bc2003,0.119,0.716,0.737,,,,
#006129,0.216,-0.313,0.38,,,,
#a2210b,0.09,0.585,0.635,,,,
#a8210b,0.09,0.609,0.659,,,,
#095cbe,-0.381,-0.599,0.745,,,,
#085cb6,-0.352,-0.585,0.714,,,,
#065cb5,-0.348,-0.591,0.71,,,,
#055c2c,0.186,-0.286,0.361,,,,
#045c2d,0.183,-0.293,0.361,,,,
#d9ac0a,0.593,0.554,0.851,,,,
#025cba,-0.368,-0.621,0.729,,,,
#015c1d,0.237,-0.267,0.361,,,,
#005cbb,-0.372,-0.632,0.733,,,,
#deac02,0.624,0.595,0.871,,,,
#0051aa,-0.347,-0.569,0.667,,,,
#fddb63,0.44,0.414,0.992,,,,
#fcdb65,0.432,0.405,0.988,,,,
#fadb56,0.483,0.425,0.98,,,,
#e4b00b,0.608,0.595,0.894,,,,
#bf2307,0.115,0.712,0.749,,,,
#b6230b,0.098,0.663,0.714,,,,
#ad2007,0.102,0.643,0.678,,,,
#a5200b,0.086,0.598,0.647,,,,
#ae2007,0.102,0.647,0.682,,,,
#b52307,0.114,0.673,0.71,,,,
#bc2303,0.131,0.714,0.737,,,,
#bb2307,0.114,0.697,0.733,,,,
#b2230b,0.098,0.647,0.698,,,,
#a9200b,0.086,0.614,0.663,,,,
#aa200b,0.086,0.618,0.667,,,,
#b02307,0.114,0.653,0.69,,,,
#e0b003,0.634,0.591,0.878,,,,
#c42003,0.119,0.748,0.769,,,,
#e3b007,0.622,0.598,0.89,,,,
#002167,-0.264,-0.306,0.404,,,,
#bf2203,0.127,0.726,0.749,,,,
#b72207,0.11,0.681,0.718,,,,
#af230b,0.098,0.636,0.686,,,,
#bd2207,0.11,0.705,0.741,,,,
#b4220b,0.094,0.656,0.706,,,,
#bc2207,0.11,0.701,0.737,,,,
#bb2203,0.127,0.71,0.733,,,,
#b32207,0.11,0.665,0.702,,,,
#b92203,0.127,0.702,0.725,,,,
#b02207,0.11,0.653,0.69,,,,
#b82207,0.11,0.685,0.722,,,,
#c32107,0.106,0.73,0.765,,,,
#00226b,-0.275,-0.317,0.42,,,,
#005f27,0.216,-0.304,0.373,,,,
#003ea8,-0.404,-0.52,0.659,,,,
#ad220b,0.094,0.628,0.678,,,,
#ac220b,0.094,0.624,0.675,,,,
#005e23,0.225,-0.292,0.369,,,,
#00236b,-0.272,-0.32,0.42,,,,
#004cab,-0.368,-0.56,0.671,,,,
#014cab,-0.368,-0.556,0.671,,,,
#003c96,-0.346,-0.476,0.588,,,,
#054c23,0.158,-0.229,0.298,,,,
#001c4c,-0.183,-0.235,0.298,,,,
#0265cf,-0.414,-0.689,0.812,,,,
#002777,-0.302,-0.356,0.467,,,,
#d69f03,0.579,0.592,0.839,,,,
#0066cb,-0.396,-0.69,0.796,,,,
#007a3a,0.25,-0.408,0.478,,,,
#cb9f0b,0.544,0.521,0.796,,,,
#cd9f0f,0.531,0.522,0.804,,,,
#006727,0.245,-0.321,0.404,,,,
#086737,0.188,-0.322,0.404,,,,
#005b17,0.252,-0.253,0.357,,,,
#135b24,0.203,-0.197,0.357,,,,
#0d5bb9,-0.365,-0.567,0.725,,,,
#0c5b30,0.167,-0.261,0.357,,,,
#0b5bb5,-0.351,-0.567,0.71,,,,
#0a5b2e,0.175,-0.265,0.357,,,,
#095bba,-0.37,-0.587,0.729,,,,
#065bbb,-0.374,-0.603,0.733,,,,
#055bb8,-0.363,-0.601,0.722,,,,
#035b2d,0.18,-0.295,0.357,,,,
#025bc7,-0.42,-0.649,0.78,,,,
#015bbb,-0.375,-0.625,0.733,,,,
#005bba,-0.372,-0.628,0.729,,,,
#013899,-0.369,-0.468,0.6,,,,
#005a28,0.194,-0.295,0.353,,,,
#023819,0.12,-0.175,0.22,,,,
#011838,-0.123,-0.177,0.22,,,,
#00581b,0.229,-0.258,0.345,,,,
#ea5a4b,0.061,0.62,0.918,,,,
#e85a48,0.074,0.623,0.91,,,,
#00399b,-0.374,-0.479,0.608,,,,
#0047a6,-0.367,-0.538,0.651,,,,
#02732d,0.268,-0.353,0.451,,,,
#e2b10e,0.599,0.576,0.886,,,,
#2f2a0b,0.111,0.088,0.184,,,,
#002a73,-0.278,-0.355,0.451,,,,
#003694,-0.358,-0.457,0.58,,,,
#036625,0.246,-0.3,0.4,,,,
#a62106,0.11,0.618,0.651,,,,
#006734,0.2,-0.351,0.404,,,,
#007d30,0.295,-0.392,0.49,,,,
#00551d,0.212,-0.257,0.333,,,,
#855a04,0.325,0.388,0.522,,,,
#00742a,0.282,-0.357,0.455,,,,
#009440,0.325,-0.481,0.58,,,,
#017436,0.241,-0.381,0.455,,,,
#ae210e,0.078,0.623,0.682,,,,
#a01d08,0.086,0.59,0.627,,,,
#a8210e,0.078,0.599,0.659,,,,
#004fab,-0.358,-0.567,0.671,,,,
#004bab,-0.372,-0.558,0.671,,,,
#e5b103,0.64,0.613,0.898,,,,
#e4b103,0.639,0.608,0.894,,,,
#00732a,0.278,-0.355,0.451,,,,
#014bab,-0.372,-0.553,0.671,,,,
#064faf,-0.371,-0.549,0.686,,,,
#e1b10b,0.609,0.577,0.882,,,,
#e2b10f,0.596,0.574,0.886,,,,
#007a36,0.264,-0.399,0.478,,,,
#0042a1,-0.366,-0.515,0.631,,,,
#00521e,0.198,-0.253,0.322,,,,
#02429d,-0.351,-0.497,0.616,,,,
#dbad14,0.563,0.541,0.859,,,,
#00591e,0.223,-0.268,0.349,,,,
#003592,-0.354,-0.45,0.573,,,,
#c51f04,0.11,0.749,0.773,,,,
#0051a7,-0.336,-0.562,0.655,,,,
#0e5ab9,-0.368,-0.56,0.725,,,,
#0d5a2c,0.177,-0.245,0.353,,,,
#0a5ab9,-0.369,-0.578,0.725,,,,
#095a2e,0.171,-0.268,0.353,,,,
#085aba,-0.374,-0.59,0.729,,,,
#055aba,-0.374,-0.603,0.729,,,,
#045ab4,-0.352,-0.594,0.706,,,,
#035abb,-0.378,-0.614,0.733,,,,
#025ac2,-0.405,-0.635,0.761,,,,
#015ac8,-0.427,-0.653,0.784,,,,
#005abc,-0.383,-0.63,0.737,,,,
#fad95c,0.457,0.419,0.98,,,,
#de311b,0.09,0.759,0.871,,,,
#0050bc,-0.417,-0.608,0.737,,,,
#f9cf1d,0.647,0.571,0.976,,,,
#eb593e,0.11,0.669,0.922,,,,
#00318b,-0.342,-0.425,0.545,,,,
#003790,-0.341,-0.45,0.565,,,,
#d8ad00,0.63,0.566,0.847,,,,
#c95944,0.086,0.514,0.788,,,,
#0d5229,0.158,-0.22,0.322,,,,
#0052b1,-0.37,-0.587,0.694,,,,
#0146a4,-0.363,-0.526,0.643,,,,
#004fa9,-0.351,-0.562,0.663,,,,
#0046a8,-0.378,-0.54,0.659,,,,
#014eae,-0.372,-0.567,0.682,,,,
#002e75,-0.272,-0.369,0.459,,,,
#0053b5,-0.381,-0.599,0.71,,,,
#006e28,0.267,-0.339,0.431,,,,
#002573,-0.294,-0.342,0.451,,,,
#0761be,-0.364,-0.618,0.745,,,,
#865904,0.322,0.395,0.525,,,,
#007433,0.252,-0.379,0.455,,,,
#087433,0.25,-0.342,0.455,,,,
#008d3c,0.313,-0.456,0.553,,,,
#f8cb15,0.663,0.594,0.973,,,,
#004cb5,-0.405,-0.583,0.71,,,,
#f7cb19,0.648,0.581,0.969,,,,
#00752f,0.269,-0.372,0.459,,,,
#006b2f,0.232,-0.349,0.42,,,,
#008b34,0.332,-0.432,0.545,,,,
#0b5629,0.173,-0.238,0.337,,,,
#0056c1,-0.415,-0.633,0.757,,,,
#014aac,-0.379,-0.553,0.675,,,,
#004aa8,-0.364,-0.549,0.659,,,,
#f5c91d,0.627,0.569,0.961,,,,
#0257c1,-0.411,-0.626,0.757,,,,
#0a572d,0.163,-0.254,0.341,,,,
#005d24,0.218,-0.292,0.365,,,,
#025d30,0.177,-0.31,0.365,,,,
#0e59b7,-0.365,-0.553,0.718,,,,
#0d592b,0.177,-0.24,0.349,,,,
#0b59b8,-0.369,-0.569,0.722,,,,
#0a592c,0.174,-0.256,0.349,,,,
#0859b6,-0.362,-0.578,0.714,,,,
#07592b,0.178,-0.268,0.349,,,,
#06592d,0.172,-0.277,0.349,,,,
#0559b7,-0.367,-0.594,0.718,,,,
#0459b6,-0.363,-0.596,0.714,,,,
#03592e,0.169,-0.292,0.349,,,,
#0259b8,-0.371,-0.61,0.722,,,,
#0159b7,-0.367,-0.612,0.718,,,,
#003893,-0.348,-0.46,0.576,,,,
#01682b,0.235,-0.329,0.408,,,,
#026833,0.207,-0.342,0.408,,,,
#fbd84f,0.5,0.453,0.984,,,,
#0048a7,-0.367,-0.542,0.655,,,,
#0148a3,-0.353,-0.529,0.639,,,,
#e85847,0.07,0.628,0.91,,,,
#0047aa,-0.382,-0.546,0.667,,,,
#deaf02,0.633,0.586,0.871,,,,
#004913,0.2,-0.205,0.286,,,,
#dcaf02,0.631,0.576,0.863,,,,
#ddaf12,0.577,0.549,0.867,,,,
#00377d,-0.271,-0.408,0.49,,,,
#002e78,-0.283,-0.376,0.471,,,,
#cb9d11,0.517,0.514,0.796,,,,
#006631,0.207,-0.342,0.4,,,,
#007731,0.27,-0.381,0.467,,,,
#0045b1,-0.414,-0.557,0.694,,,,
#d9a809,0.585,0.568,0.851,,,,
#01541d,0.208,-0.25,0.329,,,,
#0054b1,-0.363,-0.592,0.694,,,,
#0043a0,-0.359,-0.515,0.627,,,,
#00733a,0.224,-0.392,0.451,,,,
#d7a811,0.556,0.542,0.843,,,,
#02431c,0.15,-0.206,0.263,,,,
#d5a801,0.611,0.564,0.835,,,,
#0041ab,-0.405,-0.534,0.671,,,,
#0f582d,0.166,-0.234,0.345,,,,
#0d582b,0.173,-0.238,0.345,,,,
#0c582f,0.16,-0.252,0.345,,,,
#0b582a,0.177,-0.245,0.345,,,,
#0a58b9,-0.376,-0.574,0.725,,,,
#08582d,0.167,-0.265,0.345,,,,
#0758bb,-0.384,-0.592,0.733,,,,
#065829,0.182,-0.265,0.345,,,,
#05582b,0.175,-0.274,0.345,,,,
#0458b9,-0.378,-0.601,0.725,,,,
#025823,0.203,-0.269,0.345,,,,
#0158b6,-0.367,-0.607,0.714,,,,
#0058bd,-0.393,-0.628,0.741,,,,
#fbd758,0.466,0.438,0.984,,,,
#fad751,0.489,0.447,0.98,,,,
#d6a90e,0.569,0.54,0.839,,,,
#8f1c0c,0.066,0.51,0.561,,,,
#0047b2,-0.411,-0.564,0.698,,,,
#0a411d,0.137,-0.167,0.255,,,,
#016b3b,0.19,-0.37,0.42,,,,
#c99a0c,0.525,0.523,0.788,,,,
#007f33,0.292,-0.403,0.498,,,,
#0042a9,-0.395,-0.532,0.663,,,,
#014eac,-0.365,-0.563,0.675,,,,
#002e68,-0.225,-0.34,0.408,,,,
#004eac,-0.365,-0.567,0.675,,,,
#d19e0b,0.545,0.553,0.82,,,,
#005e2c,0.195,-0.313,0.369,,,,
#0043a9,-0.392,-0.535,0.663,,,,
#005525,0.186,-0.277,0.333,,,,
#035529,0.171,-0.272,0.333,,,,
#0044a9,-0.388,-0.537,0.663,,,,
#005c1f,0.231,-0.277,0.361,,,,
#ab680b,0.359,0.515,0.671,,,,
#0045ad,-0.399,-0.548,0.678,,,,
#0147a4,-0.36,-0.528,0.643,,,,
#154525,0.121,-0.144,0.271,,,,
#0047ac,-0.389,-0.551,0.675,,,,
#00632c,0.213,-0.324,0.388,,,,
#0046ad,-0.396,-0.551,0.678,,,,
#154625,0.125,-0.146,0.275,,,,
#005abe,-0.39,-0.635,0.745,,,,
#003e0d,0.179,-0.165,0.243,,,,
#016a26,0.258,-0.321,0.416,,,,
#0047b1,-0.407,-0.562,0.694,,,,
#007129,0.274,-0.348,0.443,,,,
#1357ad,-0.333,-0.504,0.678,,,,
#f8c811,0.668,0.612,0.973,,,,
#0c572d,0.163,-0.245,0.341,,,,
#0a572c,0.167,-0.252,0.341,,,,
#09572b,0.17,-0.254,0.341,,,,
#0857b4,-0.362,-0.569,0.706,,,,
#0757b5,-0.366,-0.576,0.71,,,,
#0657b7,-0.373,-0.585,0.718,,,,
#0557b3,-0.359,-0.58,0.702,,,,
#0457b4,-0.363,-0.587,0.706,,,,
#0357c7,-0.433,-0.635,0.78,,,,
#0257b5,-0.367,-0.598,0.71,,,,
#0157b8,-0.378,-0.61,0.722,,,,
#0057b5,-0.367,-0.607,0.71,,,,
#003c0f,0.166,-0.166,0.235,,,,
#017833,0.266,-0.383,0.471,,,,
#f9d649,0.513,0.461,0.976,,,,
#e65646,0.066,0.624,0.902,,,,
#0038a1,-0.398,-0.49,0.631,,,,
#015728,0.183,-0.284,0.341,,,,
#003f92,-0.321,-0.474,0.573,,,,
#00571c,0.222,-0.259,0.341,,,,
#e2b70e,0.616,0.558,0.886,,,,
#004eb7,-0.406,-0.592,0.718,,,,
#014eb7,-0.405,-0.587,0.718,,,,
#00388b,-0.319,-0.442,0.545,,,,
#003e13,0.161,-0.182,0.243,,,,
#034eaf,-0.376,-0.56,0.686,,,,
#e5b612,0.602,0.568,0.898,,,,
#b6250b,0.106,0.662,0.714,,,,
#e2b61a,0.572,0.537,0.886,,,,
#002559,-0.2,-0.286,0.349,,,,
#007640,0.213,-0.411,0.463,,,,
#007533,0.256,-0.381,0.459,,,,
#003988,-0.305,-0.438,0.533,,,,
#017533,0.255,-0.377,0.459,,,,
#003889,-0.312,-0.438,0.537,,,,
#00143b,-0.148,-0.178,0.231,,,,
#003486,-0.314,-0.421,0.525,,,,
#0053be,-0.414,-0.619,0.745,,,,
#e7b600,0.665,0.615,0.906,,,,
#e1b60c,0.62,0.56,0.882,,,,
#e2b618,0.579,0.541,0.886,,,,
#015525,0.186,-0.272,0.333,,,,
#00318d,-0.349,-0.429,0.553,,,,
#03551d,0.211,-0.243,0.333,,,,
#185623,0.184,-0.158,0.337,,,,
#12569e,-0.282,-0.471,0.62,,,,
#10562c,0.161,-0.222,0.337,,,,
#0e562b,0.165,-0.229,0.337,,,,
#0d562d,0.159,-0.238,0.337,,,,
#0b56b5,-0.368,-0.556,0.71,,,,
#0a5629,0.173,-0.243,0.337,,,,
#0956b1,-0.354,-0.556,0.694,,,,
#0756b5,-0.369,-0.574,0.71,,,,
#06562a,0.171,-0.263,0.337,,,,
#055626,0.185,-0.258,0.337,,,,
#0456ba,-0.388,-0.599,0.729,,,,
#0356b0,-0.352,-0.58,0.69,,,,
#0156b9,-0.385,-0.61,0.725,,,,
#0050b5,-0.392,-0.592,0.71,,,,
#017039,0.216,-0.378,0.439,,,,
#00702d,0.257,-0.356,0.439,,,,
#fcd54b,0.506,0.475,0.988,,,,
#fad536,0.577,0.508,0.98,,,,
#00307f,-0.302,-0.396,0.498,,,,
#e75540,0.086,0.649,0.906,,,,
#e65547,0.057,0.621,0.902,,,,
#0051b1,-0.373,-0.585,0.694,,,,
#085129,0.155,-0.24,0.318,,,,
#016f29,0.267,-0.339,0.435,,,,
#004719,0.175,-0.217,0.278,,,,
#e1af07,0.617,0.591,0.882,,,,
#00722b,0.271,-0.355,0.447,,,,
#006f35,0.226,-0.372,0.435,,,,
#dbaf0f,0.586,0.545,0.859,,,,
#deaf03,0.629,0.584,0.871,,,,
#006e2e,0.247,-0.354,0.431,,,,
#ddaf0f,0.587,0.555,0.867,,,,
#dcaf03,0.628,0.574,0.863,,,,
#eabe0e,0.641,0.577,0.918,,,,
#00732b,0.275,-0.357,0.451,,,,
#004e1a,0.197,-0.234,0.306,,,,
#004f1e,0.187,-0.247,0.31,,,,
#edb600,0.669,0.645,0.929,,,,
#e1ab05,0.613,0.607,0.882,,,,
#e1ad0b,0.598,0.589,0.882,,,,
#0054b5,-0.378,-0.601,0.71,,,,
#0854b5,-0.376,-0.565,0.71,,,,
#005c28,0.201,-0.299,0.361,,,,
#dfad03,0.624,0.595,0.875,,,,
#dead03,0.624,0.59,0.871,,,,
#002c71,-0.264,-0.356,0.443,,,,
#ddad03,0.623,0.585,0.867,,,,
#dcad03,0.622,0.58,0.863,,,,
#daab05,0.609,0.572,0.855,,,,
